event-id,visible,timestamp,location-long,location-lat,activity-x,activity-y,activity-z,external-temperature,gps:satellite-count,gps-time-to-fix,ground-speed,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29449189444,TRUE,04:00.0,-90.4559,-1.2963,,,,30,6,28,0,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188350,TRUE,04:00.0,-90.455683,-1.296433,,,,29.1,5,6,0.2,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187288,TRUE,04:00.0,-90.455017,-1.2975,,,,28.2,4,6,0.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189446,TRUE,05:00.0,-90.454417,-1.297067,,,,30.2,6,34,0,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187290,TRUE,05:00.0,-90.45305,-1.2952,,,,27.6,4,6,0.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187287,TRUE,06:00.0,-90.45625,-1.30385,,,,29.6,4,24,2.3,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449191080,TRUE,06:00.0,-90.456883,-1.304117,,,,31.3,10,26,0.1,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188348,TRUE,06:00.0,-90.4569,-1.304033,,,,30.6,5,11,0,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188349,TRUE,06:00.0,-90.456467,-1.304317,,,,31.6,5,6,0.3,3780,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188191,TRUE,05:00.0,-90.453517,-1.29975,,,,30,5,33,0,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188188,TRUE,06:00.0,-90.455667,-1.29545,,,,31,5,40,0,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189316,TRUE,06:00.0,-90.454417,-1.29645,,,,29,6,6,0.4,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188189,TRUE,06:00.0,-90.4551,-1.29435,,,,29.4,5,34,0.6,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188190,TRUE,07:00.0,-90.454533,-1.294833,,,,28.2,5,10,0.1,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187169,TRUE,07:00.0,-90.45475,-1.29505,,,,28.5,4,13,3,3740,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189301,TRUE,08:00.0,-90.455117,-1.29435,,,,30,6,42,0,3730,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187142,TRUE,08:00.0,-90.455117,-1.295383,,,,30.3,4,27,0.1,3730,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188165,TRUE,09:00.0,-90.4556,-1.295883,,,,30.3,5,27,0,3730,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
